linux_number,syscall,family,status,scope_and_verification
122,setfsuid,Linux administration and isolation,pending,
123,setfsgid,Linux administration and isolation,pending,
124,getsid,Core file and process interfaces,pending,
127,rt_sigpending,Signals and POSIX timers,implemented,Signal/timer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
128,rt_sigtimedwait,Signals and POSIX timers,implemented,Signal/timer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
129,rt_sigqueueinfo,Signals and POSIX timers,implemented,Signal/timer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
135,personality,Linux administration and isolation,pending,
142,sched_setparam,Scheduling and resource discovery,pending,
143,sched_getparam,Scheduling and resource discovery,pending,
144,sched_setscheduler,Scheduling and resource discovery,pending,
145,sched_getscheduler,Scheduling and resource discovery,pending,
146,sched_get_priority_max,Scheduling and resource discovery,pending,
147,sched_get_priority_min,Scheduling and resource discovery,pending,
148,sched_rr_get_interval,Scheduling and resource discovery,pending,
149,mlock,Memory management,implemented,Memory-lock pass; public musl and kernel ownership contracts passed in 1CPU and 4CPU guests; setrlimit supports RLIMIT_MEMLOCK; bounds and limitations in companion document
150,munlock,Memory management,implemented,Memory-lock pass; public musl and kernel ownership contracts passed in 1CPU and 4CPU guests; setrlimit supports RLIMIT_MEMLOCK; bounds and limitations in companion document
151,mlockall,Memory management,implemented,Memory-lock pass; public musl and kernel ownership contracts passed in 1CPU and 4CPU guests; setrlimit supports RLIMIT_MEMLOCK; bounds and limitations in companion document
152,munlockall,Memory management,implemented,Memory-lock pass; public musl and kernel ownership contracts passed in 1CPU and 4CPU guests; setrlimit supports RLIMIT_MEMLOCK; bounds and limitations in companion document
153,vhangup,Linux administration and isolation,pending,
155,pivot_root,Linux administration and isolation,pending,
159,adjtimex,Linux administration and isolation,pending,
162,sync,Core file and process interfaces,pending,
163,acct,Linux administration and isolation,pending,
167,swapon,Linux administration and isolation,pending,
168,swapoff,Linux administration and isolation,pending,
171,setdomainname,Linux administration and isolation,pending,
175,init_module,Linux administration and isolation,pending,
176,delete_module,Linux administration and isolation,pending,
179,quotactl,Linux administration and isolation,pending,
187,readahead,Extended file interfaces,pending,
188,setxattr,Extended file interfaces,pending,
189,lsetxattr,Extended file interfaces,pending,
190,fsetxattr,Extended file interfaces,pending,
194,listxattr,Extended file interfaces,pending,
195,llistxattr,Extended file interfaces,pending,
196,flistxattr,Extended file interfaces,pending,
197,removexattr,Extended file interfaces,pending,
198,lremovexattr,Extended file interfaces,pending,
199,fremovexattr,Extended file interfaces,pending,
203,sched_setaffinity,Scheduling and resource discovery,pending,
204,sched_getaffinity,Scheduling and resource discovery,pending,
216,remap_file_pages,Memory management,implemented,File-page remap pass; public musl and kernel mapping contracts passed in 1CPU and 4CPU guests with disk writes enabled; bounds and limitations in companion document
220,semtimedop,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
221,fadvise64,Core file and process interfaces,pending,
222,timer_create,Signals and POSIX timers,implemented,Signal/timer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
223,timer_settime,Signals and POSIX timers,implemented,Signal/timer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
224,timer_gettime,Signals and POSIX timers,implemented,Signal/timer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
225,timer_getoverrun,Signals and POSIX timers,implemented,Signal/timer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
226,timer_delete,Signals and POSIX timers,implemented,Signal/timer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
227,clock_settime,Signals and POSIX timers,implemented,Signal/timer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
240,mq_open,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
241,mq_unlink,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
242,mq_timedsend,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
243,mq_timedreceive,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
244,mq_notify,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
245,mq_getsetattr,System V IPC and POSIX message queues,implemented,IPC pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
247,waitid,Core file and process interfaces,pending,
259,mknodat,Core file and process interfaces,pending,
272,unshare,Linux administration and isolation,pending,
275,splice,Extended file interfaces,implemented,Pipe transfer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
276,tee,Extended file interfaces,implemented,Pipe transfer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
277,sync_file_range,Extended file interfaces,pending,
278,vmsplice,Extended file interfaces,implemented,Pipe transfer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
280,utimensat,Core file and process interfaces,pending,
282,signalfd,Additional event and network interfaces,implemented,Signal/timer descriptor pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
283,timerfd_create,Additional event and network interfaces,implemented,Signal/timer descriptor pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
285,fallocate,Core file and process interfaces,pending,
286,timerfd_settime,Additional event and network interfaces,implemented,Signal/timer descriptor pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
287,timerfd_gettime,Additional event and network interfaces,implemented,Signal/timer descriptor pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
289,signalfd4,Additional event and network interfaces,implemented,Signal/timer descriptor pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
299,recvmmsg,Additional event and network interfaces,pending,
300,fanotify_init,Extended file interfaces,pending,
301,fanotify_mark,Extended file interfaces,pending,
303,name_to_handle_at,Extended file interfaces,pending,
304,open_by_handle_at,Extended file interfaces,pending,
305,clock_adjtime,Linux administration and isolation,pending,
306,syncfs,Extended file interfaces,pending,
308,setns,Linux administration and isolation,pending,
309,getcpu,Scheduling and resource discovery,pending,
310,process_vm_readv,Linux administration and isolation,pending,
311,process_vm_writev,Linux administration and isolation,pending,
316,renameat2,Extended file interfaces,pending,
319,memfd_create,Memory management,implemented,Anonymous memory file and all five bundled musl seals; public contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
322,execveat,Extended file interfaces,pending,
325,mlock2,Memory management,implemented,Memory-lock pass; public musl and kernel ownership contracts passed in 1CPU and 4CPU guests; setrlimit supports RLIMIT_MEMLOCK; bounds and limitations in companion document
326,copy_file_range,Extended file interfaces,implemented,Transfer pass; public musl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
332,statx,Extended file interfaces,pending,
452,fchmodat2,Extended file interfaces,pending,
73,flock,Mapped unavailable operations,implemented,Advisory file-lock pass; flock and classic/OFD fcntl contracts passed in 1CPU and 4CPU guests; bounds and limitations in companion document
160,setrlimit,Mapped unavailable operations,implemented,Memory-lock pass; public musl and kernel ownership contracts passed in 1CPU and 4CPU guests; setrlimit supports RLIMIT_MEMLOCK; bounds and limitations in companion document
191,getxattr,Mapped unavailable operations,pending,
192,lgetxattr,Mapped unavailable operations,pending,
193,fgetxattr,Mapped unavailable operations,pending,
